# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.538173258304595947e-01 1.565427035093307495e-01 2.297881073296079713e+00
1.000000000000000000e+03 1.895975903607904911e-03 2.309445524588227272e-03 5.341745266724538865e+00
2.000000000000000000e+03 1.271084183827042580e-03 1.554063870571553707e-03 5.370325595267743779e+00
3.000000000000000000e+03 1.009075902402400970e-03 1.244946965016424656e-03 5.848426049925640413e+00
4.000000000000000000e+03 1.004182733595371246e-03 1.249226741492748260e-03 6.209234323917447895e+00
5.000000000000000000e+03 7.305017206817865372e-04 9.682159288786351681e-04 6.550698288248902657e+00
6.000000000000000000e+03 6.429144996218383312e-04 8.744866354390978813e-04 6.870611496251418870e+00
7.000000000000000000e+03 8.102199644781649113e-04 1.048717414960265160e-03 7.143651594478989786e+00
8.000000000000000000e+03 4.880301130469888449e-04 5.992312799207866192e-04 7.497550735986759918e+00
9.000000000000000000e+03 4.439209878910332918e-04 4.711248620878905058e-04 7.683667461222882800e+00
1.000000000000000000e+04 4.544112307485193014e-04 4.118589567951858044e-04 7.808134681116472464e+00
